episode,total_reward,progress,win,n_clicks,beta,learn_rate,avg_bonus
477,-30.55,2,0,3,0.1,0.001,1.1505
478,-29.79,2,0,3,0.1,0.001,1.404
479,-32.43,1,0,2,0.1,0.001,1.2829
480,-33.75,1,0,2,0.1,0.001,0.6261
481,-27.13,3,0,4,0.1,0.001,1.4682
482,-24.56,4,0,5,0.1,0.001,1.4873
483,-20.18,5,0,6,0.1,0.001,1.804
484,-33.56,1,0,2,0.1,0.001,0.7223
485,-15.56,6,0,7,0.1,0.001,2.0623
486,-33.75,1,0,2,0.1,0.001,0.6248
487,-26.3,3,0,4,0.1,0.001,1.6762
488,-32.23,1,0,2,0.1,0.001,1.3828
489,-30.76,2,0,3,0.1,0.001,1.0792
490,-30.22,2,0,3,0.1,0.001,1.2594
491,-33.18,1,0,2,0.1,0.001,0.9107
492,-28.67,3,0,4,0.1,0.001,1.0822
493,-33.66,1,0,2,0.1,0.001,0.6701
494,-31.9,1,0,2,0.1,0.001,1.5496
495,-29.11,2,0,3,0.1,0.001,1.6299
496,-33.76,1,0,2,0.1,0.001,0.6201
497,-25.59,4,0,5,0.1,0.001,1.2817
498,-33.18,1,0,2,0.1,0.001,0.9086
499,-30.36,2,0,3,0.1,0.001,1.2132
500,-25.95,4,0,5,0.1,0.001,1.2099
501,-19.44,5,0,6,0.1,0.001,1.9267
502,-32.44,1,0,2,0.1,0.001,1.2801
503,-24.19,4,0,5,0.1,0.001,1.5621
504,-29.97,3,0,4,0.1,0.001,0.7579
505,-33.77,1,0,2,0.1,0.001,0.6159
506,-31.94,2,0,3,0.1,0.001,0.688
507,-33.77,1,0,2,0.1,0.001,0.6143
508,-17.41,6,0,7,0.1,0.001,1.7987
509,-24.4,4,0,5,0.1,0.001,1.5196
510,-31.98,1,0,2,0.1,0.001,1.5113
511,-29.1,2,0,3,0.1,0.001,1.6335
512,-31.61,2,0,3,0.1,0.001,0.7979
513,36.56,1,1,1,0.1,0.001,0.5573
514,-16.21,6,0,7,0.1,0.001,1.9703
